room_type,person_capacity,host_is_superhost,multi,biz,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,lng,lat,european_city,weekday_or_weekend,cost per night cad,attr_index,rest_index
Entire home/apt,2,False,0,1,10,91,2,1.0708402,0.53115737,2.1763,41.39554,Barcelona,weekend,388.386436074,513.2095322,906.4865353
Entire home/apt,4,False,0,1,9,86,2,1.5435358,0.34019309,2.157,41.397,Barcelona,weekend,391.954290488,445.6502551,981.175715
Entire home/apt,4,False,0,1,9,92,0,1.1440659,0.70167083,2.17501,41.39673,Barcelona,weekend,388.386436074,538.3682716,931.1237796
Entire home/apt,3,False,0,1,10,87,2,1.2862074,0.7323395,2.17636,41.39769,Barcelona,weekend,388.386436074,547.140524,853.0702364999999
Entire home/apt,6,True,0,1,10,100,3,2.4012046,0.46169364,2.19873,41.38724,Barcelona,weekend,1292.58267965,277.520813,676.2422821
Entire home/apt,4,False,1,0,9,94,1,2.4030895,0.60726941,2.19796,41.39219,Barcelona,weekend,397.051225386,276.8372867,584.7120826
Entire home/apt,5,False,0,0,9,94,2,2.1603296,0.28098166,2.1956,41.38984,Barcelona,weekend,464.670561096,302.9448464,649.8080554
Entire home/apt,6,False,0,1,10,95,2,0.96683991,0.22386299,2.17924,41.38189,Barcelona,weekend,472.995554753,788.6340771,1723.601533
Entire home/apt,6,False,0,1,10,93,3,0.89263779,0.16182245,2.18027,41.38491,Barcelona,weekend,472.995554753,845.2742623,1659.993761
Entire home/apt,4,True,0,1,9,100,1,0.99611264,0.3031199,2.16,41.392,Barcelona,weekend,476.563409094,558.5951713,1323.401784
Entire home/apt,6,False,0,1,9,97,2,0.9113782,0.14822383,2.17906,41.38256,Barcelona,weekend,472.995554753,853.116589,1666.970298
Entire home/apt,4,False,0,1,10,95,1,1.4037842,0.1974134,2.16161,41.37619,Barcelona,weekend,522.096027156,380.5467984,943.8289547
Private room,2,False,1,0,10,97,1,1.565348,0.29942212,2.157,41.377,Barcelona,weekend,405.37621897,359.2993527,855.0541084
Private room,3,False,1,0,9,91,1,1.5653389,0.29942384,2.157,41.377,Barcelona,weekend,472.825656889,359.2997884,855.0559027
Entire home/apt,6,False,0,0,10,92,3,1.66527,0.29974487,2.167,41.37231,Barcelona,weekend,713.740777817,367.786474,837.6756043
Entire home/apt,4,False,0,0,10,92,2,1.8204579,0.39318448,2.15558,41.37486,Barcelona,weekend,460.423115445,360.6338878,849.9099208
Entire home/apt,4,False,1,0,10,80,1,2.9679117,0.24335316,2.13694,41.37743,Barcelona,weekend,816.01927041,247.4739647,528.4875614
Private room,2,False,0,1,2,20,1,1.489085,0.18026012,2.1565,41.3784,Barcelona,weekend,438.84609117,358.9091644,876.0379785999999
Entire home/apt,6,True,0,1,10,90,3,2.7463646,0.49268872,2.14513,41.37099,Barcelona,weekend,489.985337576,297.5961323,513.2943656
Entire home/apt,4,False,0,1,6,80,1,1.7586432,0.17303218,2.16009,41.37317,Barcelona,weekend,471.466474269,358.1413123,831.9042690999999
Entire home/apt,5,False,0,0,9,90,4,1.5729198,0.031562053,2.1606,41.37487,Barcelona,weekend,802.5973422199999,366.6232495,862.0839736
Entire home/apt,4,True,0,0,10,99,2,3.3197477,0.17135422,2.13549,41.37237,Barcelona,weekend,758.4239070699998,227.8756247,430.8780629
Private room,2,False,0,0,10,100,1,1.7319071,0.457174,2.15017,41.38266,Barcelona,weekend,629.301557002,321.6168682,764.3864211
Private room,2,False,0,0,8,80,1,3.3156912,0.17618214,2.14683,41.41137,Barcelona,weekend,701.1683385089999,333.4885917,439.5647667
Entire home/apt,2,False,0,1,9,84,1,4.5075698,0.4053013,2.11739,41.37832,Barcelona,weekend,5068.22212409,218.2697583,315.4598511
Entire home/apt,2,False,0,1,9,87,1,4.5758376,0.41841158,2.11667,41.37793,Barcelona,weekend,5068.22212409,207.6705215,309.3977196
Private room,2,False,1,0,10,100,1,2.0585144,0.64813125,2.14699,41.39371,Barcelona,weekend,449.039960893,308.9212173,798.848103
Private room,6,False,0,1,8,80,1,0.79700315,0.40796748,2.163,41.392,Barcelona,weekend,890.4345192199999,820.9942797,1327.775487
Private room,5,False,0,1,10,100,1,0.79701579,0.40795368,2.163,41.392,Barcelona,weekend,753.4968698899999,820.9886947,1327.770922
Private room,4,False,1,0,10,80,2,3.2373371,0.084810041,2.14017,41.40572,Barcelona,weekend,414.041008209,257.3343467,467.5461219
Entire home/apt,6,False,1,0,10,100,2,2.1269307,0.097423904,2.15149,41.40027,Barcelona,weekend,684.348453477,344.1376188,784.9998825
Entire home/apt,4,False,0,1,8,87,1,2.0315292,0.67031378,2.14729,41.39362,Barcelona,weekend,412.17213207,311.6055672,810.2834656999999
Entire home/apt,4,False,0,1,6,73,2,0.78411943,0.48115709,2.16193,41.39072,Barcelona,weekend,616.55921983,631.8826094,1337.565232
Private room,6,False,0,1,9,89,1,1.521372,0.52111065,2.153,41.392,Barcelona,weekend,506.975120472,374.464551,1092.567521
Entire home/apt,6,False,0,1,9,90,3,2.1829491,0.4347195,2.14392,41.38783,Barcelona,weekend,388.386436074,284.5106859,668.2551627
